moles_diluent, CJ_n2, CJ_co2
0.0,2188.74878818,2188.74878818
0.005,2188.59896868,2188.22658061
0.01,2188.44921111,2187.70486076
0.015,2188.29959292,2187.18363308
0.02,2188.14989992,2186.6628963
0.025,2188.00034198,2186.14264762
0.03,2187.85085313,2185.62289085
0.035,2187.70142885,2185.10368962
0.04,2187.55207081,2184.58483494
0.045,2187.40277859,2184.06653936
0.05,2187.25355159,2183.54872915
0.055,2187.10439186,2183.03147494
0.06,2186.95530073,2182.51456632
0.065,2186.80626947,2181.99828144
0.07,2186.65730558,2181.48241115
0.075,2186.50841001,2180.96695308
0.08,2186.35964774,2180.45205079
0.085,2186.21080887,2179.93762881
0.09,2186.06210858,2179.42369011
0.095,2185.91347287,2178.91023027
0.1,2185.76497499,2178.39725458
0.105,2185.61639816,2177.88475787
0.11,2185.46795959,2177.37273853
0.115,2185.31958843,2176.86119798
0.12,2185.17127701,2176.3501395
0.125,2185.02303282,2175.83955717
0.13,2184.87485361,2175.32945237
0.135,2184.72673725,2174.81982172
0.14,2184.57869033,2174.31074014
0.145,2184.43070522,2173.80199334
0.15,2184.28278506,2173.29379202
0.155,2184.1349315,2172.78606338
0.16,2183.98713885,2172.27888059
0.165,2183.83941454,2171.77203186
0.17,2183.69175259,2171.26572401
0.175,2183.54415717,2170.75988824
0.18,2183.39669516,2170.25452363
0.185,2183.24915743,2169.74963232
0.19,2183.10175314,2169.24520869
0.195,2182.95441512,2168.74125841
0.2,2182.80713794,2168.23777805
0.205,2182.65992785,2167.73476113
0.21,2182.51278362,2167.23221672
0.215,2182.36570073,2166.73020779
0.22,2182.21875219,2166.22859709
0.225,2182.07172539,2165.72738651
0.23,2181.92483683,2165.22670483
0.235,2181.77800797,2164.7264914
0.24,2181.63124756,2164.22674596
0.245,2181.4845475,2163.72746154
0.25,2181.33791126,2163.22864168
0.255,2181.19134148,2162.73028627
0.26,2181.04483337,2162.23239055
0.265,2180.89838706,2161.73502979
0.27,2180.7520771,2161.23798879
0.275,2180.60568888,2160.74148333
0.28,2180.45943408,2160.24543267
0.285,2180.31324212,2159.74984309
0.29,2180.16711659,2159.25471488
0.295,2180.02105072,2158.76004354
0.3,2179.87504844,2158.26590084
0.305,2179.72911021,2157.7720773
0.31,2179.58323463,2157.27884842
0.315,2179.43742263,2156.78593831
0.32,2179.29167446,2156.29355148
0.325,2179.14598745,2155.80162456
0.33,2179.00043409,2155.31014848
